#idx, x0, x1, x2, y, f_neval, total_time (us)
378, 70.392922, 662.012749, 40.388014, 0.073260, 6425, 4683.0
379, 70.619832, 662.457202, 38.564169, 0.060874, 6424, 4659.0
380, 76.147780, 659.375413, 37.788491, 0.057535, 6383, 4742.0
381, 71.555972, 662.223349, 36.227167, 0.087558, 6371, 4552.0
382, 74.028849, 660.155294, 37.210134, 0.020018, 6392, 4608.0
383, 76.252946, 661.008659, 26.512024, 0.033201, 6343, 4509.0
384, 71.062642, 660.677390, 42.360565, 0.135931, 6361, 4533.0
385, 70.191381, 662.249693, 41.851797, 0.083600, 6407, 4667.0
386, 75.136575, 660.003647, 39.665692, 0.070277, 6379, 4545.0
387, 69.060558, 661.568555, 40.689475, 0.140707, 6432, 4566.0
388, 70.757235, 661.768790, 41.138224, 0.070559, 6431, 5246.0
389, 69.075993, 659.797985, 45.341767, 0.111402, 6429, 4714.0
390, 69.597442, 665.924198, 55.474429, 0.087598, 6384, 4818.0
391, 76.038582, 661.481280, 37.042826, 0.135600, 6381, 6686.0
392, 72.226460, 660.295421, 39.891774, 0.063008, 6413, 6370.0
393, 74.024279, 660.751097, 38.203997, 0.054746, 6406, 5702.0
394, 70.247347, 659.648130, 45.159836, 0.096697, 6408, 4875.0
395, 78.186849, 658.239019, 34.114749, 0.082644, 6349, 4534.0
396, 74.095638, 660.325415, 38.141668, 0.043911, 6400, 4747.0
397, 70.649814, 661.715446, 39.230077, 0.024165, 6424, 4897.0
398, 73.569843, 660.374555, 38.013020, 0.043341, 6405, 4619.0
399, 76.480994, 659.839405, 36.242924, 0.078571, 6384, 4677.0
400, 71.097574, 660.811819, 41.729056, 0.108011, 6406, 4913.0
401, 70.101267, 662.199409, 39.262908, 0.061748, 6431, 4588.0
402, 70.979582, 661.583439, 39.497104, 0.106505, 6395, 5355.0
403, 72.920045, 661.522594, 40.043466, 0.031387, 6401, 4818.0
404, 69.987091, 661.363214, 42.622921, 0.054169, 6431, 4659.0
405, 74.876005, 660.770533, 33.815447, 0.036659, 6407, 4723.0
406, 73.222564, 662.482624, 32.541112, 0.043135, 6425, 4685.0
407, 75.236220, 660.765479, 36.264475, 0.059338, 6391, 4660.0
408, 74.651882, 660.029103, 33.342974, 0.056521, 6400, 4615.0
409, 77.353997, 662.194038, 23.599168, 0.112914, 6400, 4607.0
410, 69.637837, 663.383574, 39.152342, 0.079521, 6425, 4645.0
411, 81.483273, 657.726234, 28.714134, 0.064693, 6330, 4587.0
412, 72.001644, 662.043341, 33.444037, 0.035590, 6428, 4718.0
413, 73.732869, 660.702233, 38.488674, 0.037390, 6404, 4669.0
414, 73.091607, 660.125812, 37.594392, 0.045617, 6417, 4819.0
415, 75.383954, 660.247778, 40.688263, 0.040642, 6351, 4517.0
416, 73.434365, 661.430015, 30.539568, 0.047352, 6435, 4549.0
417, 66.475822, 659.251836, 46.194327, 0.216423, 6432, 4675.0
418, 74.375693, 661.832075, 33.805147, 0.053768, 6402, 4567.0
419, 69.984177, 662.445682, 39.928544, 0.054927, 6439, 4684.0
420, 70.421424, 660.874505, 38.536068, 0.119204, 6422, 4680.0
421, 74.628094, 659.994832, 36.896104, 0.056723, 6368, 4530.0
422, 73.303466, 660.596698, 39.278017, 0.051074, 6402, 5700.0
423, 69.597122, 662.259910, 41.583576, 0.085575, 6435, 4704.0
424, 72.153049, 661.933646, 34.556179, 0.068097, 6431, 5180.0
425, 75.326927, 659.170269, 37.021683, 0.061364, 6371, 4558.0
426, 72.109858, 661.476238, 36.585044, 0.059568, 6410, 6577.0
427, 71.997746, 659.738719, 43.052607, 0.060467, 6406, 7796.0
428, 77.079542, 661.394788, 26.479130, 0.084097, 6349, 4621.0
429, 69.198974, 661.339072, 43.753675, 0.136831, 6433, 4595.0
430, 74.968065, 660.716791, 35.639568, 0.065344, 6376, 4592.0
431, 68.749670, 662.051673, 44.046595, 0.055920, 6436, 4716.0
432, 72.480777, 661.635985, 37.078068, 0.056375, 6411, 4567.0
433, 72.589072, 660.732939, 36.305301, 0.047226, 6404, 4555.0
434, 71.152061, 660.359409, 40.106341, 0.037995, 6411, 4716.0
435, 68.398206, 661.129079, 41.853867, 0.085250, 6426, 4597.0
436, 67.111480, 663.559490, 39.090084, 0.110083, 6427, 4564.0
437, 69.318782, 660.959336, 45.135986, 0.115809, 6423, 4652.0
438, 68.424254, 664.587757, 35.501372, 0.081820, 6424, 4546.0
439, 70.683656, 661.937834, 39.242326, 0.039045, 6436, 4690.0
440, 71.362899, 661.169445, 39.585515, 0.038685, 6414, 4616.0
441, 75.018906, 660.053521, 36.809046, 0.052434, 6383, 4614.0
442, 67.241968, 663.153223, 42.001706, 0.063307, 6427, 4581.0
443, 74.536762, 659.698010, 33.908003, 0.013476, 6392, 5745.0
444, 70.450461, 659.469150, 44.965993, 0.088522, 6407, 4746.0
445, 72.792993, 660.541089, 36.600386, 0.027695, 6401, 4633.0
446, 73.024168, 660.894735, 42.091521, 0.136244, 6378, 4639.0
447, 72.717461, 662.620116, 40.663585, 0.130812, 6400, 4568.0
448, 70.873246, 661.804601, 40.018306, 0.043183, 6423, 4598.0
449, 70.265077, 661.981601, 40.681056, 0.057527, 6428, 4664.0
450, 72.666965, 660.970852, 39.599052, 0.048193, 6404, 4694.0
451, 70.114023, 662.620170, 40.967487, 0.111166, 6427, 4567.0
452, 70.424148, 662.800153, 36.038812, 0.058613, 6430, 4667.0
453, 74.651682, 660.404328, 35.736422, 0.025154, 6412, 4563.0
454, 68.551282, 662.078141, 35.983762, 0.057933, 6431, 4583.0
455, 72.052492, 659.583297, 42.305745, 0.114139, 6375, 4695.0
456, 78.597793, 660.411014, 30.089654, 0.125731, 6371, 4528.0
457, 70.876949, 662.506869, 35.602650, 0.056835, 6432, 4619.0
458, 73.830335, 660.174592, 35.346717, 0.028886, 6407, 4667.0
459, 71.995124, 659.715945, 41.850836, 0.149633, 6361, 4537.0
460, 71.443349, 660.914358, 43.225144, 0.117873, 6402, 4587.0
461, 72.912464, 660.906857, 39.181795, 0.101654, 6372, 4757.0
462, 71.641345, 660.706870, 41.150395, 0.044050, 6412, 4579.0
463, 72.992862, 661.268073, 39.064793, 0.090433, 6378, 5328.0
464, 72.472962, 660.356896, 44.642419, 0.093032, 6368, 4802.0
465, 71.859204, 661.180539, 44.896004, 0.065898, 6429, 4651.0
466, 67.613543, 661.162409, 44.073426, 0.135809, 6429, 4691.0
467, 74.531556, 659.333310, 38.346346, 0.088406, 6376, 4920.0
468, 74.206046, 659.475356, 40.327012, 0.039603, 6353, 4563.0
469, 69.195778, 663.478825, 40.362864, 0.075322, 6426, 4571.0
470, 68.462185, 662.449337, 40.774718, 0.120409, 6438, 4685.0
471, 71.838613, 660.541132, 43.233056, 0.096726, 6399, 4561.0
472, 69.271411, 663.018069, 41.654356, 0.105796, 6430, 4640.0
473, 71.475273, 662.181311, 35.548761, 0.061595, 6429, 4714.0
474, 67.879114, 661.645464, 44.157507, 0.182367, 6430, 4630.0
475, 71.567774, 661.028107, 39.051950, 0.095924, 6373, 4692.0
476, 69.544682, 660.747674, 43.676900, 0.136886, 6434, 4819.0
477, 71.705071, 661.526823, 36.832767, 0.029865, 6404, 5802.0
478, 70.909568, 661.282299, 38.482599, 0.014686, 6429, 7482.0
479, 72.815811, 661.918572, 40.988358, 0.081822, 6402, 6954.0
480, 73.586445, 659.294857, 40.367353, 0.061189, 6363, 6631.0
481, 72.155772, 660.424829, 41.849476, 0.032831, 6410, 7318.0
482, 72.496606, 661.869741, 41.650496, 0.079030, 6400, 6584.0
483, 67.410272, 660.376654, 42.906673, 0.118142, 6431, 7357.0
484, 70.131134, 663.037118, 35.982566, 0.056712, 6431, 5278.0
485, 68.160342, 661.640906, 42.559730, 0.035948, 6424, 6967.0
486, 73.269404, 661.923540, 33.011898, 0.059055, 6429, 5839.0
487, 69.965294, 661.023820, 38.082002, 0.025342, 6433, 5476.0
488, 70.998714, 661.607979, 38.900970, 0.051552, 6424, 6042.0
489, 73.126429, 661.079267, 35.919236, 0.052965, 6410, 5966.0
490, 68.240862, 662.832948, 38.288273, 0.072904, 6431, 4589.0
491, 70.642222, 661.483233, 39.662133, 0.071687, 6427, 4677.0
492, 71.196706, 662.732778, 39.568726, 0.080226, 6406, 4966.0
493, 66.281693, 661.545999, 42.715017, 0.085289, 6431, 4673.0
494, 69.523322, 662.425023, 41.511623, 0.082912, 6429, 6981.0
495, 78.323095, 661.100308, 27.636661, 0.071080, 6333, 4529.0
496, 72.426863, 661.150233, 33.756270, 0.023079, 6425, 4663.0
497, 69.565207, 661.479452, 43.192857, 0.179455, 6428, 5049.0
498, 69.551825, 663.828678, 40.690880, 0.107922, 6429, 5230.0
499, 74.842528, 661.623862, 32.194665, 0.035525, 6413, 4678.0
500, 71.621736, 661.555232, 45.231204, 0.065625, 6396, 4681.0
501, 68.669854, 662.576370, 39.836992, 0.050913, 6427, 4565.0
502, 70.895813, 659.095670, 44.498052, 0.134819, 6380, 4886.0
503, 69.064719, 661.006364, 40.567469, 0.060859, 6435, 4710.0
504, 72.890482, 661.061114, 38.011436, 0.042342, 6402, 4651.0
505, 69.187967, 661.088670, 39.400034, 0.073753, 6399, 4571.0
506, 70.724487, 662.615331, 38.297901, 0.061592, 6426, 4857.0
507, 72.425057, 661.310994, 34.249387, 0.058852, 6435, 4594.0
508, 71.148396, 662.632996, 39.606127, 0.049876, 6412, 4597.0
509, 71.146970, 661.394104, 39.829835, 0.045719, 6431, 5964.0
510, 71.228318, 661.001645, 42.145180, 0.061317, 6409, 6859.0
511, 68.889547, 662.184369, 40.086012, 0.206225, 6409, 5263.0
512, 68.728023, 662.143095, 44.757291, 0.055378, 6422, 5384.0
513, 72.300444, 661.541487, 39.106212, 0.068750, 6411, 5154.0
514, 68.833305, 659.671181, 45.884627, 0.110044, 6413, 4747.0
515, 73.553721, 660.282873, 40.548218, 0.058242, 6383, 5056.0
516, 66.642344, 662.326720, 44.417545, 0.110047, 6425, 5048.0
517, 71.294819, 661.273582, 40.988746, 0.061813, 6415, 4675.0
518, 66.756518, 662.282376, 41.328868, 0.149782, 6424, 4674.0
519, 69.817016, 660.092598, 47.329404, 0.074366, 6411, 4702.0
520, 72.640596, 661.600479, 33.387563, 0.033852, 6431, 4678.0
521, 71.818657, 661.491910, 34.444920, 0.066127, 6428, 4742.0
522, 68.810729, 661.571024, 40.429815, 0.114515, 6428, 4649.0
523, 73.371078, 660.641729, 38.961807, 0.062512, 6385, 4833.0
524, 72.736772, 662.185532, 40.524303, 0.067936, 6402, 4574.0
525, 70.743607, 662.464772, 42.921926, 0.029952, 6426, 5838.0
526, 68.680951, 661.695336, 42.972293, 0.219752, 6426, 5620.0
527, 68.134952, 661.229682, 44.423997, 0.102891, 6422, 4752.0
528, 74.131335, 659.518036, 34.961622, 0.042532, 6375, 4902.0
529, 71.070495, 662.627355, 38.663316, 0.107256, 6394, 4640.0
530, 74.053194, 660.521792, 34.434652, 0.032739, 6407, 4568.0
531, 74.978158, 660.481761, 33.723557, 0.069346, 6407, 4562.0
532, 77.961707, 658.383932, 38.477071, 0.103009, 6328, 4566.0
533, 70.168692, 662.923152, 41.175139, 0.071805, 6426, 4565.0
534, 68.868645, 660.232394, 39.832127, 0.113899, 6424, 4640.0
535, 71.511164, 662.348016, 37.710573, 0.113726, 6433, 4640.0
536, 74.533934, 659.829564, 33.239208, 0.026133, 6385, 4537.0
537, 75.600855, 661.528453, 31.798322, 0.058155, 6387, 4550.0
538, 73.222129, 660.784911, 32.051822, 0.030565, 6378, 4586.0
539, 73.186907, 661.724321, 37.513820, 0.061086, 6400, 4598.0
540, 70.538395, 662.795928, 36.182507, 0.058335, 6422, 4571.0
541, 71.942697, 660.986855, 43.767986, 0.048476, 6388, 4625.0
542, 71.576687, 661.552033, 40.459195, 0.053266, 6397, 4573.0
